	match_url	date	score	home	guests	winner	home_goals	guests_goals
647	https://ru.corner-stats.com/spartak-nalchik-anzhi-makhachkala-16-10-2011/premier-league-russia/match/16996	16/10/11	1 : 1	спартак-нальчик	 анжи 	nobody	1	1
648	https://ru.corner-stats.com/amkar-perm-kuban-krasnodar-16-10-2011/premier-league-russia/match/17506	16/10/11	3 : 1	 амкар 	 кубань 	home	3	1
649	https://ru.corner-stats.com/zenit-st-petersburg-dinamo-moscow-15-10-2011/premier-league-russia/match/17440	15/10/11	0 : 0	 зенит 	 динамо москва 	nobody	0	0
650	https://ru.corner-stats.com/krylya-samara-volga-nizhny-novgorod-15-10-2011/premier-league-russia/match/17713	15/10/11	0 : 0	 крылья советов 	волга	nobody	0	0
651	https://ru.corner-stats.com/krasnodar-rostov-15-10-2011/premier-league-russia/match/17644	15/10/11	2 : 0	 краснодар 	 ростов 	home	2	0
652	https://ru.corner-stats.com/cska-moscow-terek-grozny-15-10-2011/premier-league-russia/match/17081	15/10/11	2 : 2	 цска 	 ахмат 	nobody	2	2
653	https://ru.corner-stats.com/anzhi-makhachkala-lokomotiv-m-02-10-2011/premier-league-russia/match/16995	02/10/11	0 : 1	 анжи 	 локомотив 	guests	0	1
654	https://ru.corner-stats.com/kuban-krasnodar-cska-moscow-02-10-2011/premier-league-russia/match/17080	02/10/11	0 : 0	 кубань 	 цска 	nobody	0	0
655	https://ru.corner-stats.com/spartak-m-zenit-st-petersburg-02-10-2011/premier-league-russia/match/17322	02/10/11	2 : 2	 спартак 	 зенит 	nobody	2	2
656	https://ru.corner-stats.com/tomsk-rubin-kazan-02-10-2011/premier-league-russia/match/17378	02/10/11	0 : 2	 томь 	 рубин 	guests	0	2
657	https://ru.corner-stats.com/dinamo-moscow-krasnodar-01-10-2011/premier-league-russia/match/17643	01/10/11	2 : 1	 динамо москва 	 краснодар 	home	2	1
658	https://ru.corner-stats.com/volga-nizhny-novgorod-amkar-perm-01-10-2011/premier-league-russia/match/17579	01/10/11	0 : 0	волга	 амкар 	nobody	0	0
659	https://ru.corner-stats.com/rostov-krylya-samara-01-10-2011/premier-league-russia/match/17712	01/10/11	1 : 0	 ростов 	 крылья советов 	home	1	0
660	https://ru.corner-stats.com/terek-grozny-spartak-nalchik-01-10-2011/premier-league-russia/match/17250	01/10/11	0 : 1	 ахмат 	спартак-нальчик	guests	0	1
661	https://ru.corner-stats.com/anzhi-makhachkala-terek-grozny-26-09-2011/premier-league-russia/match/16994	26/09/11	2 : 2	 анжи 	 ахмат 	nobody	2	2
662	https://ru.corner-stats.com/lokomotiv-m-rubin-kazan-25-09-2011/premier-league-russia/match/17162	25/09/11	1 : 1	 локомотив 	 рубин 	nobody	1	1
663	https://ru.corner-stats.com/krylya-samara-dinamo-moscow-25-09-2011/premier-league-russia/match/17711	25/09/11	1 : 0	 крылья советов 	 динамо москва 	home	1	0
664	https://ru.corner-stats.com/amkar-perm-rostov-25-09-2011/premier-league-russia/match/17578	25/09/11	0 : 1	 амкар 	 ростов 	guests	0	1
665	https://ru.corner-stats.com/krasnodar-spartak-m-25-09-2011/premier-league-russia/match/17321	25/09/11	2 : 4	 краснодар 	 спартак 	guests	2	4
666	https://ru.corner-stats.com/spartak-nalchik-kuban-krasnodar-25-09-2011/premier-league-russia/match/17505	25/09/11	0 : 1	спартак-нальчик	 кубань 	guests	0	1
667	https://ru.corner-stats.com/cska-moscow-volga-nizhny-novgorod-24-09-2011/premier-league-russia/match/17079	24/09/11	3 : 1	 цска 	волга	home	3	1
668	https://ru.corner-stats.com/zenit-st-petersburg-tomsk-24-09-2011/premier-league-russia/match/17438	24/09/11	4 : 0	 зенит 	 томь 	home	4	0
669	https://ru.corner-stats.com/kuban-krasnodar-anzhi-makhachkala-18-09-2011/premier-league-russia/match/16992	18/09/11	1 : 0	 кубань 	 анжи 	home	1	0
670	https://ru.corner-stats.com/terek-grozny-lokomotiv-m-18-09-2011/premier-league-russia/match/17160	18/09/11	0 : 4	 ахмат 	 локомотив 	guests	0	4
671	https://ru.corner-stats.com/spartak-m-krylya-samara-18-09-2011/premier-league-russia/match/17319	18/09/11	3 : 0	 спартак 	 крылья советов 	home	3	0
672	https://ru.corner-stats.com/rubin-kazan-zenit-st-petersburg-18-09-2011/premier-league-russia/match/17375	18/09/11	2 : 3	 рубин 	 зенит 	guests	2	3
673	https://ru.corner-stats.com/dinamo-moscow-amkar-perm-18-09-2011/premier-league-russia/match/17577	18/09/11	3 : 0	 динамо москва 	 амкар 	home	3	0
674	https://ru.corner-stats.com/rostov-cska-moscow-18-09-2011/premier-league-russia/match/17078	18/09/11	1 : 1	 ростов 	 цска 	nobody	1	1
675	https://ru.corner-stats.com/volga-nizhny-novgorod-spartak-nalchik-17-09-2011/premier-league-russia/match/18057	17/09/11	1 : 0	волга	спартак-нальчик	home	1	0
676	https://ru.corner-stats.com/tomsk-krasnodar-17-09-2011/premier-league-russia/match/17642	17/09/11	0 : 3	 томь 	 краснодар 	guests	0	3
677	https://ru.corner-stats.com/terek-grozny-kuban-krasnodar-12-09-2011/premier-league-russia/match/17248	12/09/11	1 : 2	 ахмат 	 кубань 	guests	1	2
678	https://ru.corner-stats.com/anzhi-makhachkala-volga-nizhny-novgorod-11-09-2011/premier-league-russia/match/16991	11/09/11	2 : 1	 анжи 	волга	home	2	1
679	https://ru.corner-stats.com/krylya-samara-tomsk-11-09-2011/premier-league-russia/match/17710	11/09/11	2 : 0	 крылья советов 	 томь 	home	2	0
